Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-07-11,We Are Your Friends,2015,https://boxd.it/6QCWGB,5,Yes,,2024-07-10
2024-07-11,Real Steel,2011,https://boxd.it/6QCX2d,5,Yes,,2024-07-10
2024-07-11,Real Steel,2011,https://boxd.it/6QCZev,5,,,2024-07-10
2024-07-11,We Are Your Friends,2015,https://boxd.it/6QCZXP,5,,,2024-07-10
2024-07-18,Insidious,2010,https://boxd.it/6TLEnh,5,,,2024-07-17
2024-07-18,Insidious: Chapter 2,2013,https://boxd.it/6TLEER,5,,,2024-07-17
2024-07-18,Blood Red Sky,2021,https://boxd.it/6TLGWN,5,,,2024-07-17
2024-07-18,Hugo,2011,https://boxd.it/6TLHqt,5,,,2024-07-17
2024-07-18,Manchester by the Sea,2016,https://boxd.it/6TLHDH,5,,,2024-07-17
2024-07-18,If I Stay,2014,https://boxd.it/6TLHOb,5,,,2024-07-17
2024-07-18,Red Dog: True Blue,2016,https://boxd.it/6TLI15,5,,,2024-07-17
2024-07-18,Boychoir,2014,https://boxd.it/6TLIfL,5,,,2024-07-17
2024-07-18,Where the Wild Things Are,2009,https://boxd.it/6TLIp7,5,,,2024-07-17
2024-07-18,The Iron Giant,1999,https://boxd.it/6TLIz7,5,,,2024-07-17
2024-07-18,Bridge to Terabithia,2007,https://boxd.it/6TLIKf,5,,,2024-07-17
2024-07-18,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/6TLIQn,5,,,2024-07-17
2024-07-18,The Death & Life of John F. Donovan,2018,https://boxd.it/6TLJ0H,5,,,2024-07-17
2024-07-18,The Death & Life of John F. Donovan,2018,https://boxd.it/6TLJ1v,5,,,2024-07-17
2024-07-18,Dune,2021,https://boxd.it/6TLJEx,4.5,,,2024-07-17
2024-07-18,Dune: Part Two,2024,https://boxd.it/6TLJM7,4.5,,,2024-07-17
2024-07-18,Four Kids and It,2020,https://boxd.it/6TLK2f,3,,,2024-07-17
2024-07-18,12 Strong,2018,https://boxd.it/6TLKft,4,,,2024-07-17
2024-07-18,A Monster Calls,2016,https://boxd.it/6TLKrJ,5,,,2024-07-17
2024-07-18,Interstellar,2014,https://boxd.it/6TLLN7,5,,,2024-07-17
2024-07-18,Kubo and the Two Strings,2016,https://boxd.it/6TLLWD,5,,,2024-07-17
2024-07-18,Let's Be Cops,2014,https://boxd.it/6TLMav,4.5,,,2024-07-17
2024-07-18,The Maze Runner,2014,https://boxd.it/6TLMlD,5,,,2024-07-17
2024-07-18,Maze Runner: The Scorch Trials,2015,https://boxd.it/6TLMwr,4,,,2024-07-17
2024-07-18,Maze Runner: The Death Cure,2018,https://boxd.it/6TLMGh,4.5,,,2024-07-17
2024-07-18,The Flight Before Christmas,2008,https://boxd.it/6TLN8v,5,,,2024-07-17
2024-07-18,E.T. the Extra-Terrestrial,1982,https://boxd.it/6TLNWb,5,,,2024-07-17
2024-07-18,Free Willy,1993,https://boxd.it/6TLO5n,5,,,2024-07-17
2024-07-18,Free Willy 2: The Adventure Home,1995,https://boxd.it/6TLOfd,4,,,2024-07-17
2024-07-18,Free Willy 3: The Rescue,1997,https://boxd.it/6TLOpd,2,,,2024-07-17
2024-07-18,The Sixth Sense,1999,https://boxd.it/6TOVWp,5,,,2024-07-17
2024-07-24,Stand by Me,1986,https://boxd.it/6WxaVx,5,,,2024-07-23
2024-07-24,Pan,2015,https://boxd.it/6WyRoN,5,,,2024-07-23
2024-07-25,Blade Runner 2049,2017,https://boxd.it/6X0iWV,5,,,2024-07-24
2024-07-25,The Secret Life of Walter Mitty,2013,https://boxd.it/6X1fR1,4.5,,,2024-07-24
2024-07-25,Prisoners,2013,https://boxd.it/6X1sPd,5,,,2024-07-24
2024-07-25,Nightcrawler,2014,https://boxd.it/6X1tG7,5,,,2024-07-24
2024-07-25,Brightburn,2019,https://boxd.it/6X3s83,4,,,2024-07-24
2024-07-31,The Polar Express,2004,https://boxd.it/6ZLY5B,5,,,2024-07-30
2024-08-02,Guy Ritchie's The Covenant,2023,https://boxd.it/70w4xX,4,,,2024-08-01
2024-08-03,Pacific Rim,2013,https://boxd.it/71gMjx,5,,,2024-08-03
2024-08-03,Pacific Rim: Uprising,2018,https://boxd.it/71gMwh,2.5,,,2024-08-03
2024-09-27,Hereditary,2018,https://boxd.it/7pWeRF,2.5,,,2024-09-27
